keywords ,_realyear ,year ,_series ,_title ,_ref_code ,_source ,id 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ",31. Castillo De Fornells. ,SE/KrA/0414/0025/0035 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0035 (1699) ",K0037935_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ","111. Planta De La Provincia Y Iurisdicon De Bourdeus. [Bordeaux, Frankrike] ",SE/KrA/0414/0025/0128 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0128 (1699) ",K0038021_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ",70. Planta De La Ciudad De Marsala. ,SE/KrA/0414/0025/0086 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0086 (1699) ",K0037985_00001 
  ,1637,1630,Band 11: Svenska planteboken (Örnehufvud) ,4. Lustholmen medh Disseinen om Tyghusedt. Anno 1637 ,SE/KrA/0414/0011/0004 ,"Handritade Kartverk, Band 11: Svenska planteboken (Örnehufvud), SE/KrA/0414/0011/0004 (1637) ",K0024242_00001 
  ,1624,1620,"Band 12: Svenska och utländska slott, städer och fästen (Thomé) ",No 20. Gotenburg Anno 1624 ,SE/KrA/0414/0012/0020 ,"Handritade Kartverk, Band 12: Svenska och utländska slott, städer och fästen (Thomé), SE/KrA/0414/0012/0020 (1624) ",K0024304_00001 
  ,1632,1630,Band 11: Svenska planteboken (Örnehufvud) ,19. Elfzburgs Slottz Planta. Anno 1632. ,SE/KrA/0414/0011/0019 ,"Handritade Kartverk, Band 11: Svenska planteboken (Örnehufvud), SE/KrA/0414/0011/0019 (1632) ",K0024257_00001 
  ,1648,1640,"Band 21: Ut- och inländska städer, slott, fästen m.m. (Dahlberg) ",N:o 49. Schladen. ,SE/KrA/0414/0021/0072 ,"Handritade Kartverk, Band 21: Ut- och inländska städer, slott, fästen m.m. (Dahlberg), SE/KrA/0414/0021/0072 (1648) ",K0037896_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ",31. Puerto De Fornells. ,SE/KrA/0414/0025/0036 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0036 (1699) ",K0037936_00001 
  ,1675,1670,Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg) ,3. Delineation af Fästningen Calmar[...] ,SE/KrA/0414/0013/0002 ,"Handritade Kartverk, Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg), SE/KrA/0414/0013/0002 (1675) ",K0024306_00001 
  ,1624,1620,Band 11: Svenska planteboken (Örnehufvud) ,22. Dessein: om Staden Fahlun huru dem gaturna Reguleres Skole. Stelt Anno 1624. ,SE/KrA/0414/0011/0022 ,"Handritade Kartverk, Band 11: Svenska planteboken (Örnehufvud), SE/KrA/0414/0011/0022 (1624) ",K0024260_00001 
